
Table 1. Liquidation loan-to-value (LTV) parameters: collateral (row), debt (column):
Table 1b. Cluster Target Liquidation LTVs):
Asset,WAVAX,BTC.b,WETH.e,USDC,sAVAX,ggAVAX
WAVAX,0.00,0.70,0.70,0.70,0.00,0.00
BTC.b,0.80,0.00,0.85,0.80,0.00,0.00
WETH.e,0.80,0.80,0.00,0.80,0.00,0.00
USDC,0.915,0.80,0.80,0.00,0.00,0.00
sAVAX,0.915,0.80,0.80,0.80,0.00,0.00
ggAVAX,0.85,0.80,0.80,0.80,0.00,0.00

Table 1. Liquidation loan-to-value (LTV) parameters: collateral (row), debt (column):
Table 1b. Cluster Target Liquidation LTVs):
Asset,WAVAX,BTC.b,WETH.e,USDC,sAVAX,ggAVAX
WAVAX,0.00,0.70,0.70,0.70,0.00,0.00
BTC.b,0.80,0.00,0.85,0.80,0.00,0.00
WETH.e,0.80,0.80,0.00,0.80,0.00,0.00
USDC,0.915,0.80,0.80,0.00,0.00,0.00
sAVAX,0.915,0.80,0.80,0.80,0.00,0.00
ggAVAX,0.85,0.80,0.80,0.80,0.00,0.00
