
Table 2. Supply & Borrow Caps:
Asset,Supply Cap (unit),Borrow Cap (unit)
WBERA,5000000,4500000
WETH,10000,9200
WBTC,300,276
HONEY,100000000,92000000
USDC.e,100000000,92000000
STONE,10000,9200
BYUSD,100000000,92000000
NECT,2000000,115792089237316195423570985008687907853269984665640564039457.584007913129639935

Table 2. Supply & Borrow Caps:
Asset,Supply Cap (unit),Borrow Cap (unit)
WBERA,5000000,4500000
WETH,10000,9200
WBTC,300,276
HONEY,100000000,92000000
USDC.e,100000000,92000000
STONE,10000,9200
BYUSD,100000000,92000000
NECT,2000000,115792089237316195423570985008687907853269984665640564039457.584007913129639935

Table 2. Supply & Borrow Caps:
Asset,Supply Cap (unit),Borrow Cap (unit)
WBERA,5000000,4500000
WETH,10000,9200
WBTC,300,276
HONEY,100000000,92000000
USDC.e,100000000,92000000
STONE,10000,9200
BYUSD,100000000,92000000
NECT,2000000,115792089237316195423570985008687907853269984665640564039457.584007913129639935
