Vault,Governor,Whitelist
0x0a1eCC5Fe8C9be3C809844fcBe615B46A869b899,Euler Arbitrum,Yes
0x37512F45B4ba8808910632323b73783Ca938CD51,Euler Arbitrum,Yes
0x78E3E051D32157AACD550fBB78458762d8f7edFF,Euler Arbitrum,Yes
0xA8616E4D9f3f0aa01aff1d7c3b66249f8a5f1A58,Euler Arbitrum,Yes
0x889E1c458B2469b70aCcdfb5B59726dC1668896C,Euler Arbitrum,Yes
0xDBD974Eb5360d053ea0c56B4DaCF4A9D3E894Ee2,Euler Arbitrum,Yes
0x05d28A86E057364F6ad1a88944297E58Fc6160b3,Euler Arbitrum Yield,No
0xF2cf48e4932835c941cCCd27e450c71138df81Ca,Euler Arbitrum Yield,No
0x5059ff3008ffE2b50980330A402ea5c59dA01AD7,Euler Arbitrum Yield,No
0x46E57D0dE266638C8339689be04B038049Be3812,Euler Arbitrum Yield,No
0x6aFB8d3F6D4A34e9cB2f217317f4dc8e05Aa673b,K3 USDai,Yes
0x482C3E2530FAc8FE2c63AE007AD2695C6d685E98,K3 USDai,Yes
0x7D9790403FA53eF3E3a3389c259D244BDc61B785,K3 USDai,Yes
0xAABb9cbAC15a3D646dCdc6574bCFCfB989E1fDd8,K3 USDai,Yes
0x683B777A393BA94F3c903fba2b14A6b6fF80dbE7,K3 USDai,Yes
0x22038F6FA20AeacBa681030B2fb7c77155901c3F,K3 USDai,Yes
0x4d375ed67a83eDbC03685141F551DefE25b4917e,K3 USDai,Yes
0xFe3320fD1baCf38Bf74B84eF0ef7b34562926DDf,K3 USDai,Yes
0x5F7f81Fb9a3CfBF35633349990BBc5001f365408,K3 USDai,Yes
0x878e12C1a1bBDF7645E28a8e9c420ccD595204aD,K3 USDai,Yes
0x44C10DA836d2aBe881b77bbB0b3DCE5f85C0C1Cc,Euler Theo,Yes
0xEE074ceB44adA094391B9C71A7Fb8ba6962D492c,Euler Theo,Yes
0x79e1F4a1Cde92568D58EB823f81D9c0C7C384e6b,Euler Theo,Yes
0x1DA09605FEfD09312B3004212a7274D7bb1DD891,Euler Theo,Yes
