Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
AAVE,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0xba5DdD1f9d7F570dc94a51479a000E3BCE967196,0x0000000000000000000000000000000000000348,0x2b9ab1e972a281585084148ba1389800799bd4be63b957507db1349314e47445,60,300
EURA,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0xFA5Ed56A203466CbBC2430a43c66b9D8723528E7,0x0000000000000000000000000000000000000348,0x3b670a7aa22cf0dc3b76b42dc2e26a85bac35eafc5a5ae2defd6d98201b1b997,60,300
ARB,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x912CE59144191C1204E64559FE8253a0e49E6548,0x0000000000000000000000000000000000000348,0x3fa4252848f9f0a1480be62745a4629d9eb1322aebab8a791e344b3b9c1adcf5,60,300
CBETH,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x1DEBd73E752bEaF79865Fd6446b0c970EaE7732f,0x0000000000000000000000000000000000000348,0x15ecddd26d49e1a8f1de9376ebebc03916ede873447c1255d2d5891b92ce5717,60,300
DAI,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x0000000000000000000000000000000000000348,0xb0948a5e5313200c632b51bb5ca32f6de0d36e9950a942d19751e833f70dabfd,60,300
ETH,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0000000000000000000000000000000000000348,0xff61491a931112ddf1bd8147cd1b641375f79f5825126d665480874634fd0ace,60,300
EZETH,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x0000000000000000000000000000000000000348,0x06c217a791f5c4f988b36629af4cb88fad827b2485400a358f3b02886b54de92,60,300
FRAX,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348,0xc3d5d8d6d17081b3d0bbca6e2fa3a6704bb9a9561d9f9e1dc52db47629f862ad,60,300
FRXETH,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x178412e79c25968a32e89b11f63B33F733770c2A,0x0000000000000000000000000000000000000348,0x29240ee3a9024d107888eb1d4c527216f06bd64cee030c6b5575b1a8d77cb659,60,300
GHO,USD,Pyth,Yes,Yes,PythOracle,0xff1a0f4744e8582DF1aE09D5611b887B6a12925C,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,0x0000000000000000000000000000000000000348,0x2a0e948f637a8c251d9f06055e72eb4b3880dd57848bbdb02993c8165d7df4ee,60,300
