Vault,Governor,Whitelist
0x859160DB5841E5cfB8D3f144C6b3381A85A4b410,Euler Base,Yes
0x7b181d6509DEabfbd1A23aF1E65fD46E89572609,Euler Base,Yes
0x358f25F82644eaBb441d0df4AF8746614fb9ea49,Euler Base,Yes
0xd4A805261B28f375fc9c3d89EcD2C952Cd130d14,Euler Base,Yes
0xa487f940D6f40D7304CD4e62751220f97124BeC9,Euler Base,Yes
0x8b70a855B057cA85F38Ebb2a7399D9FE0BDC1046,Euler Base,Yes
0x0A1a3b5f2041F33522C4efc754a7D096f880eE16,Euler Base,Yes
0x9ECD9fbbdA32b81dee51AdAed28c5C5039c87117,Euler Base,Yes
0x882018411Bc4A020A879CEE183441fC9fa5D7f8B,Euler Base,Yes
0x3f0d3Fd87A42BDaa3dfCC13ADA42eA922e638a7A,Euler Base,Yes
0x5Fe2DE3E565a6a501a4Ec44AAB8664b1D674ac25,Euler Base,Yes
0x556d518FDFDCC4027A3A1388699c5E11AC201D8b,Euler Base,Yes
0x65cFEF3Efbc5586f0c05299343b8BeFb3fF5d81a,Euler Base,Yes
0x841C92bfF53c81cDdb8ad557096B30C93fddb394,Euler Base,Yes
0x72c8B07E5aD9F2DcC3cA2c05927c31ddCf2Ffe9A,Euler Base,Yes
0xe72eA97aAF905c5f10040f78887cc8dE8eAec7E4,Euler Frontier yoBTC,Yes
0xFab9aF50F7A1Cfe201CAE1c15fCFdDaE7705ccD3,Euler Frontier yoBTC,Yes
0x774C08F8e78C47046d325C0331788954C35DF10a,Euler Frontier yoETH,Yes
0xdbDC9c3EdBD401109c83b333c16A0251806b3330,Euler Frontier yoETH,Yes
0x38Df63F1986B80578B7357BCda3D4f71F129AfFf,Euler Frontier yoETH,Yes
0x085178078796Da17B191f9081b5E2fCCc79A7eE7,Euler Frontier yoUSD,Yes
0x990d616ca6E7192625d1B7C41Fb67b5758DF7CF2,Euler Frontier yoUSD,Yes
0x24D633664Aea3F551B2Fa34fA66Dd1BA52a33933,Euler Frontier yoUSD,Yes
0xC063C3b3625DF5F362F60f35B0bcd98e0fa650fb,Apostro Resolv,Yes
0x29Dbce367F5157B924Af5093617bb128477D7A5C,Apostro Resolv,Yes
0x1E2F1e8A97E96a2FDD6A8Da427603Ed1c8b3847F,Apostro Resolv,Yes
0x3F131Ac9D408926a8B36C1e03ce105f44DCD26Af,Apostro Resolv,Yes
0x5ce15fC058E762A6F9722fC6521A0c0F5eECD9BA,Apostro Resolv,Yes
0x34ABB4501419b1E5f836567C58300c861164101A,Apostro Resolv,Yes
0xEdCc195Ca09c9FCC1DD30b152C0b82045Ff2F91f,Apostro Resolv,Yes
0x596dBb33131fa2991cf5651cB57e4b15682C7F93,Apostro Resolv,Yes
0xf4480166d66CFb9c5E12C843A8F844F512989289,Alterscope LRT,Yes
0xF3BB6b0a9bEAF9240D7F4a91341d5Df6bF37cAea,Alterscope LRT,Yes
0x611745c9107d0197f161556691c5129fD9B898D1,Edge UltraYield,Yes
0x614bD506051a8CCfCBc57C34aEdcf6CaffCd5d17,Edge UltraYield,Yes
0x1Fd3A242a549D595431442F898FDbb374F15B885,Edge UltraYield,Yes
0x85114A78c512872Df273CA12f35FBE4Cf0749616,Edge UltraYield,Yes
0xBC46393223990D024fcb2b0Ff2f5A4cd52602ea2,Edge UltraYield,Yes
0xD7c286712bd46aa8acBec4EA99d3018b32Edb190,Edge UltraYield,Yes
0x78d6A3BC9d41B7C6Fd52FF2E85a2dF6d1F4F9B3a,Edge UltraYield,Yes
0xA67A95971b8D010c16de4B33259D1c574d256121,Edge UltraYield,Yes
0x81744B5B5527852832F2dd3554C191d3B1342108,AlphaGrowth Base,Yes
0x4C1aeda9B43EfcF1da1d1755b18802aAbe90f61E,AlphaGrowth Base,Yes
