Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
AERO,USD,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0x0000000000000000000000000000000000000348,0x4EC5970fC728C5f65ba413992CD5fF6FD70fcfF0,90000
CBETH,ETH,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x4200000000000000000000000000000000000006,0x806b4Ac04501c29769051e42783cF04dCE41440b,90000
CBETH,USD,Chainlink,Yes,Yes,1200,0.15,ChainlinkOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec23,0x0000000000000000000000000000000000000348,0xd7818272B9e248357d13057AAb0B417aF31E817d,4800
CBETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec24,0x4200000000000000000000000000000000000006,0x868a501e68F3D1E89CfC0D22F6b22E8dabce5F04,90000
ETH,USD,Chainlink,Yes,Yes,1200,0.15,ChainlinkOracle,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,0x71041dddad3595F9CEd3DcCFBe3D1F4b0a16Bb70,4800
EZETH,ETH,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0x960BDD1dFD20d7c98fa482D793C3dedD73A113a3,90000
EZETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0xC4300B7CF0646F0Fe4C5B2ACFCCC4dCA1346f5d8,90000
EURC,USD,Chainlink,Yes,Yes,86400,0.30,ChainlinkOracle,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,0xDAe398520e2B67cd3f27aeF9Cf14D93D927f8250,90000
OGN,USD,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x7002458b1df59eccb57387bc79ffc7c29e22e6f7,0x0000000000000000000000000000000000000348,0x91D7AEd72bF772A0DA30199B925aCB866ACD3D9e,90000
RETH,ETH,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,0x4200000000000000000000000000000000000006,0xf397bF97280B488cA19ee3093E81C0a77F02e9a5,90000
RSR,USD,Chainlink,Yes,Yes,86400,2.00,ChainlinkOracle,0xab36452dbac151be02b16ca17d8919826072f64a,0x0000000000000000000000000000000000000348,0xAa98aE504658766Dfe11F31c5D95a0bdcABDe0b1,90000
TBTC,USD,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0x0000000000000000000000000000000000000348,0x6D75BFB5A5885f841b132198C9f0bE8c872057BF,90000
USD+,USD,Chainlink,Yes,No,86400,0.50,ChainlinkOracle,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0x0000000000000000000000000000000000000348,0xd5Ec94430eF4170D819E0996BC53ed40d31638d8,90000
USDC,USD,Chainlink,Yes,Yes,86400,0.30,ChainlinkOracle,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,0x7e860098F58bBFC8648a4311b374B1D669a2bc6B,90000
WEETH,EETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0x35e9D7001819Ea3B39Da906aE6b06A62cfe2c181,90000
WEETH,ETH,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0xFC1415403EbB0c693f9a7844b92aD2Ff24775C65,90000
WOETH,OETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0xd8724322f44e5c58d7a815f542036fb17dbbf839,0x4200000000000000000000000000000000000006,0xe96EB1EDa83d18cbac224233319FA5071464e1b9,90000
WSTETH,ETH,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x43a5C292A453A3bF3606fa856197f09D7B74251a,90000
WSTETH,STETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0xB88BAc61a4Ca37C43a3725912B1f472c9A5bc061,90000
