Asset,Quote,Provider,Deploy,Whitelist,Class,base,cross,quote,oracleBaseCross,oracleCrossQuote
RETH,USD,Cross,Yes,Yes,CrossAdapter,0xe3b3FE7bcA19cA77Ad877A5Bebab186bEcfAD906,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_RETH/ETH],[Chainlink_ETH/USD]
CBETH,USD,Cross,Yes,Yes,CrossAdapter,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_CBETH/ETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
EZETH,USD,Cross,Yes,Yes,CrossAdapter,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_EZETH/ETH],[Chainlink_ETH/USD]
EZETH,USD,Cross,Yes,Yes,CrossAdapter,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_EZETH/ETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
WEETH,USD,Cross,Yes,Yes,CrossAdapter,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WEETH/ETH],[Chainlink_ETH/USD]
WEETH,USD,Cross,Yes,Yes,CrossAdapter,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WEETH/EETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
WOETH,USD,Cross,Yes,Yes,CrossAdapter,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WOETH/OETH_EXCHANGE_RATE],[ETH/USD]
WSTETH,USD,Cross,Yes,Yes,CrossAdapter,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WSTETH/ETH],[Chainlink_ETH/USD]
WSTETH,USD,Cross,Yes,Yes,CrossAdapter,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WSTETH/STETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
CBBTC,USD,Cross,Yes,Yes,CrossAdapter,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000348,[Chronicle_CBBTC/USDC],[Chronicle_USDC/USD]
BSDETH,USD,Cross,Yes,Yes,CrossAdapter,0xcb327b99ff831bf8223cced12b1338ff3aa322ff,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[RedstoneClassic_BSDETH/ETH],[Chainlink_ETH/USD]
RETH,USD,Cross,Yes,Yes,CrossAdapter,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[RateProvider_RETH/ETH],[Chainlink_ETH/USD]
wUSD+,USD,Cross,Yes,Yes,CrossAdapter,0xe1b1e024f4Bc01Bdde23e891E081b76a1A914ddd,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0x0000000000000000000000000000000000000348,[RateProvider_WUSD+/USD+],[Chainlink_USD+/USD]
