Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
AERO,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0x0000000000000000000000000000000000000348,0x9db37f4d5654aad3e37e2e14ffd8d53265fb3026d1d8f91146539eebaa2ef45f,60,300
EURA,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0xa61beb4a3d02decb01039e378237032b351125b4,0x0000000000000000000000000000000000000348,0x3b670a7aa22cf0dc3b76b42dc2e26a85bac35eafc5a5ae2defd6d98201b1b997,60,300
CBETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,0x15ecddd26d49e1a8f1de9376ebebc03916ede873447c1255d2d5891b92ce5717,60,300
ETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,0xff61491a931112ddf1bd8147cd1b641375f79f5825126d665480874634fd0ace,60,300
EURC,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,0x76fa85158bf14ede77087fe3ae472f66213f6ea2f5b411cb2de472794990fa5c,60,300
EZETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,0x06c217a791f5c4f988b36629af4cb88fad827b2485400a358f3b02886b54de92,60,300
RETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,0x0000000000000000000000000000000000000348,0xa0255134973f4fdf2f8f7808354274a3b1ebc6ee438be898d045e8b56ba1fe13,60,300
RSR,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0xab36452dbac151be02b16ca17d8919826072f64a,0x0000000000000000000000000000000000000348,0xfb7565b77267ba3f6ef770bed5d7f9b22b8542db676dbd9b934a2fcf945f4371,60,300
TBTC,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0x0000000000000000000000000000000000000348,0x56a3121958b01f99fdc4e1fd01e81050602c7ace3a571918bb55c6a96657cca9,60,300
USDC,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,0xeaa020c61cc479712813461ce153894a96a6c00b21ed0cfc2798d1f9a9e9c94a,60,300
WEETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x0000000000000000000000000000000000000348,0x9ee4e7c60b940440a261eb54b6d8149c23b580ed7da3139f7f08f4ea29dad395,60,300
WSTETH,USD,Pyth,Yes,Yes,PythOracle,0x8250f4aF4B972684F7b336503E2D6dFeDeB1487a,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,0x6df640f3b8963d8f8358f791f352b8364513f6ab1cca5ed3f1f7b5448980e784,60,300
