Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
CBETH,USD,Chainlink,Yes,Yes,1200,0.15,ChainlinkOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,0xd7818272B9e248357d13057AAb0B417aF31E817d,4800
CBETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x4200000000000000000000000000000000000006,0x868a501e68F3D1E89CfC0D22F6b22E8dabce5F04,90000
ETH,USD,Chainlink,Yes,Yes,1200,0.15,ChainlinkOracle,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,0x71041dddad3595F9CEd3DcCFBe3D1F4b0a16Bb70,4800
EURC,USD,Chainlink,Yes,Yes,86400,0.30,ChainlinkOracle,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,0xDAe398520e2B67cd3f27aeF9Cf14D93D927f8250,90000
USDC,USD,Chainlink,Yes,Yes,86400,0.30,ChainlinkOracle,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,0x7e860098F58bBFC8648a4311b374B1D669a2bc6B,90000
WSTETH,STETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0xB88BAc61a4Ca37C43a3725912B1f472c9A5bc061,90000
WEETH,EETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0x35e9D7001819Ea3B39Da906aE6b06A62cfe2c181,90000
BTC,USD,Chainlink,Yes,No,1200,0.10,ChainlinkOracle,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,0x64c911996D3c6aC71f9b455B1E8E7266BcbD848F,4800
EZETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0xC4300B7CF0646F0Fe4C5B2ACFCCC4dCA1346f5d8,90000
AERO,USD,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0x0000000000000000000000000000000000000348,0x4EC5970fC728C5f65ba413992CD5fF6FD70fcfF0,90000
USDz,USD,Chainlink,Yes,Yes,86400,0.50,ChainlinkOracle,0x04D5ddf5f3a8939889F11E97f8c4BB48317F1938,0x0000000000000000000000000000000000000348,0xe25969e2Fa633a0C027fAB8F30Fc9C6A90D60B48,90000
CBBTC_FUNDAMENTAL,USD,Chainlink,Yes,No,1200,0.10,ChainlinkOracle,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,0x64c911996D3c6aC71f9b455B1E8E7266BcbD848F,4800
