Asset,Quote,Provider,Deploy,Whitelist,Class,base,cross,quote,oracleBaseCross,oracleCrossQuote
CBETH,USD,Cross,Yes,Yes,CrossAdapter,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_CBETH/ETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
WSTETH,USD,Cross,Yes,Yes,CrossAdapter,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WSTETH/STETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
CBBTC,USD,Cross,Yes,Yes,CrossAdapter,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000348,[Chronicle_CBBTC/USDC],[Chronicle_USDC/USD]
WEETH,USD,Cross,Yes,Yes,CrossAdapter,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_WEETH/EETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
LBTC,USD,Cross,Yes,Yes,CrossAdapter,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,[RedstoneClassic_LBTC_FUNAMENTAL/BTC],[Chainlink_BTC/USD]
EZETH,USD,Cross,Yes,Yes,CrossAdapter,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[Chainlink_EZETH/ETH_EXCHANGE_RATE],[Chainlink_ETH/USD]
RETH,USD,Cross,Yes,Yes,CrossAdapter,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,[RateProvider_RETH/ETH],[Chainlink_ETH/USD]
PT-LBTC-29MAY2025,USD,Cross,Yes,Yes,CrossAdapter,0x5d746848005507DA0b1717C137A10C30AD9ee307,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,[Pendle_PT-LBTC-29MAY2025/CBBTC],[Chainlink_CBBTC_FUNDAMENTAL/USD]
LBTC,USD,Cross,Yes,Yes,CrossAdapter,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,[FixedRate_LBTC/BTC],[Chainlink_BTC/USD]
PT-USR-24APR2025,USD,Cross,Yes,Yes,CrossAdapter,0xec443e7E0e745348E500084892C89218B3ba4683,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,0x0000000000000000000000000000000000000348,[Pendle_PT-USR-24APR2025/USR],[FixedRate_USR/USD]
SUSDS,USD,Cross,Yes,Yes,CrossAdapter,0x5875eEE11Cf8398102FdAd704C9E96607675467a,0x820C137fa70C8691f0e44Dc420a5e53c168921Dc,0x0000000000000000000000000000000000000348,[Pyth_SUSDS/USDS],[Chainlink_USDS/USD]
