Vault,Governor,Whitelist
0x80E0d452da8eb37c8db9C8E89103DC92aD477773,K3,No
0x6f421F025DD9e3EfF6097536b7991029859C888A,K3,No
0xf168679179AA9b6E7772C8eCa4F8afB0B75ED346,K3,No
0xB615D3123410EE89542b027DC71e87b4Fc05EA80,Re7,No
0x33Cc3800574c4bEe6D7428e707Db82d1543d639D,Re7,No
0x11DA346d3Fdb62641BDbfebfd54b81CAA871aEf6,Re7,No
0xced95f4cF51dE12F0a0af62F1b53828491d21Ca9,Tulipa Cluster,No
0xa61837d6745De6198456165191298075Eca0b9a0,Tulipa Cluster,No
0x1A681ED31eA68455A73D187929973e7095c31932,Tulipa Cluster,No
0x31AB3523467f9e1788EFf6df8f4DE301026EdE8f,Mev Capital,No
0x77CE4B784b494c4b089ACa5fbD7938F9c6f5F37B,Mev Capital,No
0xc282E68852F52A9cf493b8A85dfF55B871f4757B,Mev Capital,No
0xF004756AedD7375E4039E942BAB6CccFd1E165bB,Mev Capital,No
0x615A898Ca1f70B1D15545DadE04b7d04ED856539,Mev Capital,No
