Vault,Governor,Whitelist
0xF73c654d468f5485bF15F3470B78851a49257704,Euler,Yes
0x443100d1149D6d925Edb044248BBE32c5C7Ae955,Euler,Yes
0x8A4545827DF5446Ba120B904e5306e58acCA4E89,Euler,Yes
0xC200AaB602Cd7046389B5C8FB088884323F8dD0f,Euler,Yes
0x28fCa2611d1Dd8109c26F748Cd2CF3BB4fC6D2cD,Euler,Yes
0x83c34784e355ad2670dB77623B845273844FA480,Euler,Yes
0xc7e7861352df6919e7152C007832C48A777f2a4c,Euler,Yes
0x97d30B40048bA3fC6b6628cE5E02E77f35B64fE0,Euler,Yes
0x3403176f548400772c39E64564f2b148bcdFb65e,Euler,Yes
0x64a3052570F5A1c241C6c8cd32F8F9aD411e6990,Euler,Yes
0x1739105522e4fc9675f857C859223d24DFE7593C,Euler,Yes
0xcAAA9A6e543b9af588Dce91E6c35Cb5fa1c7734C,Euler,Yes
0x61Cb3b093b7125D593CCfa135C6e4E9D52D2e697,Euler,Yes
0x06bf901Ce21450Bab46ceA74C4Bb6F07E6859CD6,Euler,Yes
0x09a6ad87Eff280755BdF3E2C863358D27d81262D,Euler,Yes
0x94F5C76A93F12057d73991AE5B4f70e9287b5b28,Euler,Yes
0xF9BB65e113418292d1a3555515fBd64637a0BE18,Euler,Yes
