Vault,Governor,Whitelist
0x797DD80692c3b2dAdabCe8e30C07fDE5307D48a9,Euler,Yes
0xD8b27CF359b7D15710a5BE299AF6e7Bf904984C2,Euler,Yes
0xbC4B4AC47582c3E38Ce5940B80Da65401F4628f1,Euler,Yes
0x313603FA690301b0CaeEf8069c065862f9162162,Euler,Yes
0x315F93a074D0948E4D068e98a34092750ea8A38C,Apostro,Yes
0xf9a23b059858CdD0e3ED0DDE89864BB82B88aa19,Apostro,Yes
0xBe4089616039eC3F7361B7058d92a90246ee86e0,Dinero,Yes
0x67e4e4e73947257Ca62D118E0FBC56D06f11d96F,Re7,Yes
0xc41252D4F61D25658cD83Cc39942c49776E1B0C5,Re7,Yes
0xeE8693c11acE62839bB96beaE86696c1e78Aba3F,Re7,Yes
0x27052ea5e307b6e8566d9ee560231c6742a6c03c,Re7,Yes
0x82c710B9B225B43C0c90f097DB31f5f10a7F86FA,Re7,Yes
0x631D8E808f2c4177a8147Eaa39a4F57C47634dE8,Re7,Yes
0xa992d3777282c44ee980E9B0ca9Bd0c0E4f737aF,Re7,Yes
0xc40A68b5E536632b6572283F996B830B34607d01,Re7,Yes
