Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
1INCH,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x111111111117dc0aa78b770fa6a738034120c302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x72AFAECF99C9d9C8215fF44C77B94B99C28741e8,90000,,,,,,,Crypto
1INCH,USD,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348,0xc929ad75B72593967DE83E7F7Cda0493458261D9,90000,,,,,,,Crypto
AAVE,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012,90000,,,,,,,Crypto
AAVE,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348,0x547a514d5e3769680Ce22B2361c10Ea13619e8a9,7200,,,,,,,Crypto
EURA,EUR,Chainlink,Yes,No,86400,1.00%,ChainlinkOracle,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x00000000000000000000000000000000000003d2,0xb4d5289C58CE36080b0748B47F859D8F50dFAACb,90000,,,,,,,Crypto
ALCX,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x194a9AaF2e0b67c35915cD01101585A33Fe25CAa,90000,,,,,,,Crypto
AMPL,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x492575FDD11a0fCf2C6C719867890a7648d526eB,90000,,,,,,,Crypto
AMPL,USD,Chainlink,No,No,172800,1000.00%,ChainlinkOracle,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x0000000000000000000000000000000000000348,0xe20CA8D7546932360e37E9D72c1a47334af57706,176400,,,,,,,Crypto
APE,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x4d224452801aced8b2f0aebe155379bb5d594381,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7de7f4d4C9c991fF62a07D18b3E31e349833A18,90000,,,,,,,Crypto
APE,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x4d224452801aced8b2f0aebe155379bb5d594381,0x0000000000000000000000000000000000000348,0xD10aBbC76679a20055E167BB80A24ac851b37056,90000,,,,,,,Crypto
