Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
BTC,USD,Chronicle,No,No,86400,1,ChronicleOracle,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,0x24C392CDbF32Cf911B258981a66d5541d85269ce,90000
ETH,USD,Chronicle,Yes,Yes,86400,1,ChronicleOracle,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,0x46ef0071b1E2fF6B42d36e5A177EA43Ae5917f4E,90000
GNO,USD,Chronicle,No,No,86400,4,ChronicleOracle,0x6810e776880C02933D47DB1b9fc05908e5386b96,0x0000000000000000000000000000000000000348,0x31BFA908637C29707e155Cfac3a50C9823bF8723,90000
MKR,USD,Chronicle,Yes,Yes,86400,1,ChronicleOracle,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348,0xa69e234a1f55072201127209a18230E89d9E71aC,90000
MOG,USD,Chronicle,No,No,43200,1,ChronicleOracle,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,0x0000000000000000000000000000000000000348,0xFE7f9Ece94500d6381bA1BB0afd77577d6834C0C,46800
PEPE,USD,Chronicle,No,No,43200,1,ChronicleOracle,0x6982508145454ce325ddbe47a25d4ec3d2311933,0x0000000000000000000000000000000000000348,0x496C851B2A9567DfEeE0ACBf04365F3ba00Eb8dC,46800
STETH,BTC,Chronicle,No,No,86400,2,ChronicleOracle,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x02238BB0085395ae52cd4755456891Fc2fd5934D,90000
WSTETH,USD,Chronicle,Yes,Yes,86400,1,ChronicleOracle,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348,0xA770582353b573CbfdCC948751750EeB3Ccf23CF,90000
USDS,USD,Chronicle,Yes,Yes,43200,1,ChronicleOracle,0xdC035D45d973E3EC169d2276DDab16f1e407384F,0x0000000000000000000000000000000000000348,0x74661a9ea74fD04975c6eBc6B155Abf8f885636c,46800
SUSDS,USD,Chronicle,Yes,Yes,43200,1,ChronicleOracle,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,0x0000000000000000000000000000000000000348,0x496470F4835186bF118545Bd76889F123D608E84,46800
cbBTC,USDC,Chronicle,Yes,No,43200,1,ChronicleOracle,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3131E6a68BFb42976Ef574AF042f67d322098747,46800
SKY,USD,Chronicle,Yes,Yes,43200,1,ChronicleOracle,0x56072C95FAA701256059aa122697B133aDEd9279,0x0000000000000000000000000000000000000348,0x9f7Ce792d0ee09a6ce89eC2B9B236A44B0aCf73e,46800
