Asset,Quote,Provider,Deploy,Whitelist,Class,base,cross,quote,oracleBaseCross,oracleCrossQuote
EURA,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x00000000000000000000000000000000000003d2,0x0000000000000000000000000000000000000348,[EURA/EUR],[EUR/USD]
ALCX,USD,Cross (Chainlink),No,No,CrossAdapter,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[ALCX/ETH],[ETH/USD]
BADGER ,USD,Cross (Chainlink),No,No,CrossAdapter,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[BADGER/ETH],[ETH/USD]
CBETH,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[CBETH/ETH],[ETH/USD]
ETHx ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[ETHx/ETH],[ETH/USD]
ezETH ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[ezETH/ETH],[ETH/USD]
FTM,USD,Cross (Chainlink),No,No,CrossAdapter,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[FTM/ETH],[ETH/USD]
LDO,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[LDO/ETH],[ETH/USD]
mETH,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[mETH/ETH],[ETH/USD]
PAXG ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x45804880De22913dAFE09f4980848ECE6EcbAf78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[PAXG/ETH],[ETH/USD]
PERP ,USD,Cross (Chainlink),No,No,CrossAdapter,0xbC396689893D065F41bc2C6EcbeE5e0085233447,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[PERP/ETH],[ETH/USD]
RETH,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xae78736Cd615f374D3085123A210448E74Fc6393,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[RETH/ETH],[ETH/USD]
RSETH ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[RSETH/ETH],[ETH/USD]
rswETH ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[rswETH/ETH],[ETH/USD]
SHIB ,USD,Cross (Chainlink),No,No,CrossAdapter,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[SHIB/ETH],[ETH/USD]
SUSD,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[SUSD/ETH],[ETH/USD]
SWETH,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[SWETH/ETH],[ETH/USD]
WBTC,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,[WBTC/BTC],[BTC/USD]
weETH ,USD,Cross (Chainlink),Yes,Yes,CrossAdapter,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[weETH/ETH],[ETH/USD]
wstETH,USD,"Cross (Lido, Chainlink)",Yes,Yes,CrossAdapter,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348,[wstETH/stETH],[stETH/USD]
wstETH,ETH,"Cross (Lido, Chainlink)",Yes,Yes,CrossAdapter,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,[wstETH/stETH],[stETH/ETH]
osETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[osETH/ETH],[ETH/USD]
swETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[swETH/ETH],[ETH/USD]
rsETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[rsETH/ETH],[ETH/USD]
ezETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[ezETH/ETH],[ETH/USD]
rswETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[rswETH/ETH],[ETH/USD]
pufETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[pufETH/ETH],[ETH/USD]
sfrxETH,USD,Cross (RedStone Classic),Yes,Yes,CrossAdapter,0xac3E018457B222d93114458476f3E3416Abbe38F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,[sfrxETH/ETH],[ETH/USD]
