Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rate
OETH,ETH,Fixed Rate,Yes,Yes,FixedRateOracle,0x856c4Efb76C1D1AE02e20CEB03A2A6a08b0b8dC3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1000000000000000000
M,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x866A2BF4E572CbcF37D5071A7a58503Bfb36be1b,0x0000000000000000000000000000000000000348,1000000000000000000
USDA,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x0000206329b97DB379d5E1Bf586BbDB969C63274,0x0000000000000000000000000000000000000348,1000000000000000000
USD0,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,0x0000000000000000000000000000000000000348,1000000000000000000
amphrBTC,BTC,Fixed Rate,Yes,No,FixedRateOracle,0x64047dD3288276d70A4F8B5Df54668c8403f877F,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,1000000000000000000
cbBTC,BTC,Fixed Rate,Yes,No,FixedRateOracle,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,1000000000000000000
TRYB,TRY,Fixed Rate,Yes,No,FixedRateOracle,0x2C537E5624e4af88A7ae4060C022609376C8D0EB,0x00000000000000000000000000000000000003B5,1000000000000000000
AUSD,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,0x0000000000000000000000000000000000000348,1000000000000000000
wM,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x437cc33344a0B27A429f795ff6B469C72698B291,0x0000000000000000000000000000000000000348,1000000000000000000
mTBILL,USD,Fixed Rate,Yes,No,FixedRateOracle,0xDD629E5241CbC5919847783e6C96B2De4754e438,0x0000000000000000000000000000000000000348,1000000000000000000
