Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
1INCH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x111111111117dc0aa78b770fa6a738034120c302,0x0000000000000000000000000000000000000348,0x63f341689d98a12ef60a5cff1d7f85c70a9e17bf1575f0e7c0b2512d48b1c8b3,120,300
AAVE,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348,0x2b9ab1e972a281585084148ba1389800799bd4be63b957507db1349314e47445,120,300
ACM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0xbd640cddb72063e2ede34c6a0baf6699759b9837fcb06aa0e2fbcecb9b65fde7,120,300
ADA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x2a01deaec9e51a579277b34b122399984d0bbf57e2458a7e42fecd2829867a0d,120,300
AERO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x9db37f4d5654aad3e37e2e14ffd8d53265fb3026d1d8f91146539eebaa2ef45f,120,300
AEVO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xb528edbef013aff855ac3c50b381f253af13b997,0x0000000000000000000000000000000000000348,0x104e4d9ba218610b9af53c887f9fcb7396615259867a5a4b5983a65802aeee0b,120,300
AFSUI,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x17cd845b16e874485b2684f8b8d1517d744105dbb904eec30222717f4bc9ee0d,120,300
EURA,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x0000000000000000000000000000000000000348,0x84755269cafa0a552ce2962c5ac7369a4da7aef57a01379b87736698387b793b,120,300
AKT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x4ea5bb4d2f5900cc2e97ba534240950740b4d3b89fe712a94a7304fd2fd92702,120,300
ALGO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0xfa17ceaf30d19ba51112fdcc750cc83454776f47fb0112e4af07f15f4bb1ebc0,120,300
ALICE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xAC51066d7bEC65Dc4589368da368b212745d63E8,0x0000000000000000000000000000000000000348,0xccca1d2b0d9a9ca72aa2c849329520a378aea0ec7ef14497e67da4050d6cf578,120,300
ALPACA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x9095653620547ece988ec51486dc7a6eb2efddbce8ea5bedbd53bf00cca84cf6,120,300
ALT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,0x0000000000000000000000000000000000000348,0x119ff2acf90f68582f5afd6f7d5f12dbae81e4423f165837169d6b94c27fb384,120,300
AMB,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0xbe4cb6bf8f18e84b1c4fd6fafa7f048a972be26505bd58338eb66c80faa99483,120,300
AMP,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x0000000000000000000000000000000000000348,0xd37e4513ebe235fff81e453d400debaf9a49a5df2b7faa11b3831d35d7e72cb7,120,300
ANKR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,0x0000000000000000000000000000000000000348,0x89a58e1cab821118133d6831f5018fba5b354afb78b2d18f575b3cbf69a4f652,120,300
APE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x15add95022ae13563a11992e727c91bdb6b55bc183d9d747436c80a483d8c864,120,300
API3,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x95ea50020cf75a81a105d639fd74773ade522e12044600b52286ff5961c71412,120,300
APT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0x03ae4db29ed4ae33d323568895aa00337e658e348b37509f5372ae51f0af00d5,120,300
AR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,N/A,0x0000000000000000000000000000000000000348,0xf610eae82767039ffc95eef8feaeddb7bbac0673cfe7773b2fde24fd1adb0aee,120,300
ARB,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x912CE59144191C1204E64559FE8253a0e49E6548,0x0000000000000000000000000000000000000348,0x3fa4252848f9f0a1480be62745a4629d9eb1322aebab8a791e344b3b9c1adcf5,120,300
ARKM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,0x0000000000000000000000000000000000000348,0x7677dd124dee46cfcd46ff03cf405fb0ed94b1f49efbea3444aadbda939a7ad3,120,300
ASR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb881c6dad5dd3dc9a83222f8032fb439859288119afc742d43adc305cef151cc,120,300
ASTR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x89b814de1eb2afd3d3b498d296fca3a873e644bafb587e84d181a01edd682853,120,300
ATLAS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x681e0eb7acf9a2a3384927684d932560fb6f67c6beb21baa0f110e993b265386,120,300
ATM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x8ff1200345393bb25be4f4eeb2d97234e91f7e6213f3745a694b1436e700f271,120,300
ATOM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb00b60f88b03a6a625a8d1c048c3f66653edf217439983d037e7222c4e612819,120,300
AUDIO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x18aaa7115705e8be94bffebde57af9bfc265b998,0x0000000000000000000000000000000000000348,0x2ea070725c82f69be1a730c1730cb229dc3ab44459f41d6f06f0b9ab551e4ddb,120,300
AURORA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x2f7c4f738d498585065a4b87b637069ec99474597da7f0ca349ba8ac3ba9cac5,120,300
AURY,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x18667130b9120bcc71d9f8cbe4119e603e3c8f11c2d91745b0b80ec609c9df3b,120,300
AVAX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x93da3352f9f1d105fdfe4971cfa80e9dd777bfc5d0f683ebb6e1294b92137bb7,120,300
AXL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,0x0000000000000000000000000000000000000348,0x60144b1d5c9e9851732ad1d9760e3485ef80be39b984f6bf60f82b28a2b7f126,120,300
AXS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb7e3904c08ddd9c0c10c6d207d390fd19e87eb6aab96304f571ed94caebdefa0,120,300
BAL,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xba100000625a3754423978a60c9317c58a424e3d,0x0000000000000000000000000000000000000348,0x07ad7b4a7662d19a6bc675f6b467172d2f3947fa653ca97555a9b20236406628,120,300
BAND,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x0000000000000000000000000000000000000348,0x5ab188823c117b3ac791391752f95fd701d923ccffa3436ecf7ba5d4bb4bd678,120,300
BAR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x9d23a47f843f5c9284832ae6e76e4aa067dc6072a58f151d39a65a4cc792ef9f,120,300
BAT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x0000000000000000000000000000000000000348,0x8e860fb74e60e5736b455d82f60b3728049c348e94961add5f961b02fdee2535,120,300
BCH,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x3dd2b63686a450ec7290df3a1e0b583c0481f651351edfa7636f39aed55cf8a3,120,300
BEAM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,0x0000000000000000000000000000000000000348,0x3871d0ef1cf9e26005e4bbf7822f67a8883071a9d8a4e7a0125d2484cca7671f,120,300
BETH,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x7f981f906d7cfe93f618804f1de89e0199ead306edc022d3230b3e8305f391b0,120,300
