Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
weETH,USD,RedStone Classic,Yes,Yes,21600,1,ChainlinkOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0x0000000000000000000000000000000000000348,0xdDb6F90fFb4d3257dd666b69178e5B3c5Bf41136,25200
weETH,ETH,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8751F736E94F6CD167e8C5B97E245680FbD9CC36,90000
ETHx,ETH,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc799194cAa24E2874Efa89b4Bf5c92a530B047FF,90000
osETH,ETH,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x66ac817f997Efd114EDFcccdce99F3268557B32C,90000
swETH,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x061bB36F8b67bB922937C102092498dcF4619F86,25200
XVS,USD,RedStone Classic,No,No,86400,1,ChainlinkOracle,0xd3CC9d8f3689B83c91b7B59cAB4946B063EB894A,0x0000000000000000000000000000000000000348,0xa2a8507DEb233ceE4F5594044C259DD0582339CC,90000
C3M,USD,RedStone Classic,No,No,N/A,N/A,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x6E27A25999B3C665E44D903B2139F5a4Be2B6C26,N/A
eUSD,USD,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0xA0d69E286B938e21CBf7E51D71F6A4c8918f482F,0x0000000000000000000000000000000000000348,0xb347d2e3524D0F9e2321D84A2E9b2e60CbC4A836,90000
apxETH,ETH,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0x9ba021b0a9b958b5e75ce9f6dff97c7ee52cb3e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x19219BC90F48DeE4d5cF202E09c438FAacFd8Bea,90000
rsETH,ETH,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA736eAe8805dDeFFba40cAB8c99bCB309dEaBd9B,90000
ezETH,ETH,RedStone Classic,Yes,Yes,43200,1,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF4a3e183F59D2599ee3DF213ff78b1B3b1923696,46800
rswETH,ETH,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3A236F67Fce401D87D7215695235e201966576E4,90000
USDe,USD,RedStone Classic,Yes,Yes,86400,0.2,ChainlinkOracle,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348,0xbC5FBcf58CeAEa19D523aBc76515b9AEFb5cfd58,90000
sUSDe,USD,RedStone Classic,Yes,Yes,86400,0.2,ChainlinkOracle,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348,0xb99D174ED06c83588Af997c8859F93E83dD4733f,90000
pufETH,ETH,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x76A495b0bFfb53ef3F0E94ef0763e03cE410835C,90000
ETH+,ETH,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3B9c09bde7776C32C518e2E787412A9bBaA7685F,90000
sfrxETH,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0xac3E018457B222d93114458476f3E3416Abbe38F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd60c54115C19e0c6360AD4762B88BB8076D50a8,25200
pzETH,ETH_FUNDAMENTAL,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0x8c9532a60E0E7C6BbD2B2c1303F63aCE1c3E9811,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0d7697a15bce933cE8671Ba3D60ab062dA216C60,90000
USD3,USD,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0x0d86883FAf4FfD7aEb116390af37746F45b6f378,0x0000000000000000000000000000000000000348,0xB39339B82DdCF89d12d987d1D4Db33aFdd40B6AA,90000
LBTC_FUNDAMENTAL,BTC,RedStone Classic,Yes,Yes,86400,1,ChainlinkOracle,0x8236a87084f8B84306f72007F36F2618A5634494,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0xb415eAA355D8440ac7eCB602D3fb67ccC1f0bc81,90000
