Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,feedIdString,feedDecimals,maxStaleness
VST,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,VST,8,120
USDC,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000348,USDC,8,120
USDT,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x0000000000000000000000000000000000000348,USDT,8,120
BNB,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,BNB,8,120
BTC,USD,RedStone Core,No,No,RedstoneCoreOracle,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,BTC,8,120
DAI,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348,DAI,8,120
FXS,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0x0000000000000000000000000000000000000348,FXS,8,120
FRAX,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348,FRAX,8,120
ETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,ETH,8,120
stETH,USD,RedStone Core,No,No,RedstoneCoreOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x0000000000000000000000000000000000000348,stETH,8,120
stETH,ETH,RedStone Core,No,No,RedstoneCoreOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,stETH/ETH,8,120
wstETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x0000000000000000000000000000000000000348,wstETH,8,120
wstETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wstETH/ETH,8,120
wstETH,USD_FUNDAMENTAL,RedStone Core,No,No,RedstoneCoreOracle,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x0000000000000000000000000000000000000348,wstETH_FUNDAMENTAL,8,120
wstETH,stETH,RedStone Core,No,No,RedstoneCoreOracle,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,wstETH/stETH,8,120
SWETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xf951E335afb289353dc249e82926178EaC7DEd78,0x0000000000000000000000000000000000000348,SWETH,8,120
SWETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,SWETH/ETH,8,120
crvFRAX,USD,RedStone Core,No,No,RedstoneCoreOracle,0x3175df0976dfa876431c2e9ee6bc45b65d3473cc,0x0000000000000000000000000000000000000348,crvFRAX,8,120
3Crv,USD,RedStone Core,No,No,RedstoneCoreOracle,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,0x0000000000000000000000000000000000000348,3Crv,8,120
LUSD,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0x0000000000000000000000000000000000000348,LUSD,8,120
GHO,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348,GHO,8,120
AAVE,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x0000000000000000000000000000000000000348,AAVE,8,120
C3M,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,C3M,8,120
