Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Renew Before,Class,base,quote,feed,maxStaleness
AVAX,USD,API3,No,No,86400,1,01 September 2024,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x3ced0482612cD6Dd5c1FF9B3B2a8bEfA35589eD5,90000
BTC,USD,API3,No,No,86400,1,05 September 2024,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x8b4834d9F0B8A10F2ecB6b70514078D57A678A65,90000
DAI,USD,API3,Yes,Yes,86400,1,05 September 2024,ChainlinkOracle,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x0000000000000000000000000000000000000348,0x4B4Eb1B421e3d21E0dCf61b041da5D99363Ba8a5,90000
sDAI,DAI,API3,No,No,86400,1,01 September 2024,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x9dc70df607b1e49BBc7958009dD4B99BD1D40F20,90000
ETH,USD,API3,Yes,Yes,86400,1,01 September 2024,ChainlinkOracle,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0000000000000000000000000000000000000348,0xf624881ac131210716F7708C28403cCBe346cB73,90000
MATIC,USD,API3,No,No,86400,1,01 September 2024,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x617748da995CCbD962d05343b5f96e5C45074c2a,90000
RDNT,USD,API3,Yes,Yes,86400,0.5,28 October 2024,ChainlinkOracle,0x3082CC23568eA640225c2467653dB90e9250AaA0,0x0000000000000000000000000000000000000348,0xf1499A3A7F451Ab08021582Ee55457B0E6B16e67,90000
USDC,USD,API3,Yes,Yes,86400,1,05 September 2024,ChainlinkOracle,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x0000000000000000000000000000000000000348,0xd2279D1c54f5bAE0197221Dc9cdA4fb7F64Dd55D,90000
USDT,USD,API3,Yes,Yes,86400,1,05 September 2024,ChainlinkOracle,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,0x0000000000000000000000000000000000000348,0x52e2b919AE123b49249283735e6Ef9F5a6e8FC7d,90000
WBTC,USD,API3,Yes,Yes,86400,1,05 September 2024,ChainlinkOracle,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0x0000000000000000000000000000000000000348,0xE53154CFCc333200a0EC4CB6C206b1a5a1432d21,90000
wUSDM,USDM,API3,No,No,86400,1,22 October 2024,ChainlinkOracle,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x59D9356E565Ab3A36dD77763Fc0d87fEaf85508C,0xc0f2A6E7922336fEbd96c62D8E37d122eab83174,90000
ETHx,ETH (EXCHANGE RATE),API3,Yes,Yes,86400,1,14 October 2024,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xce801c9c2E9507c812798F09a73B58365A120621,90000
ezETH,ETH (EXCHANGE RATE),API3,Yes,Yes,86400,1,01 September 2024,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xEB7C19e2245Af227570516E963efA74Da8C38c51,90000
mETH,ETH (EXCHANGE RATE),API3,No,No,86400,1,01 September 2024,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x7ab45460b0C6cd8FE230D79D1443f595E57beDa7,90000
rsETH,ETH (EXCHANGE RATE),API3,Yes,Yes,86400,1,01 September 2024,ChainlinkOracle,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xe22fD122A143FedF96E0439B1d72A0B5016e2e61,90000
STONE,ETH (EXCHANGE RATE),API3,No,No,86400,1,05 September 2024,ChainlinkOracle,N/A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x43AEF97978918d9459051b168386F538f4956667,90000
uniETH,ETH (EXCHANGE RATE),API3,Yes,Yes,86400,1,01 September 2024,ChainlinkOracle,0x3d15fD46CE9e551498328B1C83071D9509E2C3a0,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0d814CC3556E235F891cDf7B89eDc1ba2bfeBb8e,90000
weETH,ETH (EXCHANGE RATE),API3,Yes,Yes,86400,1,01 September 2024,ChainlinkOracle,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x13F9e27446438fB2c34bc57018D6130ae724bF59,90000
