Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
1INCH,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x4bC735Ef24bf286983024CAd5D03f0738865Aaef,90000
AAVE,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xba5DdD1f9d7F570dc94a51479a000E3BCE967196,0x0000000000000000000000000000000000000348,0xaD1d5344AaDE45F43E596773Bcc4c423EAbdD034,90000
ADA,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xD9f615A9b820225edbA2d821c4A696a0924051c6,90000
ankrETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xe05a08226c49b636acf99c40da8dc6af83ce5bb3,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x5Fb73f7Af8a29297953d3611422826039338E5b4,90000
APE,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x221912ce795669f628c51c69b7d0873eDA9C03bB,90000
apxETH,pxETH (EXCHANGE RATE),Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,N/A,0x221912ce795669f628c51c69b7d0873eDA9C03bB,90000
ARB,USD,Chainlink,Yes,Yes,86400,0.05,ChainlinkOracle,0x912CE59144191C1204E64559FE8253a0e49E6548,0x0000000000000000000000000000000000000348,0xb2A824043730FE05F3DA2efaFa1CBbe83fa548D6,90000
ATOM,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xCDA67618e51762235eacA373894F0C79256768fa,90000
AVAX,USD,Chainlink,No,No,86400,0.1,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x8bf61728eeDCE2F32c456454d87B5d6eD6150208,90000
AXL,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x23ee2343B892b1BB63503a4FAbc840E0e2C6810f,0x0000000000000000000000000000000000000348,0x84e8237CC1418Ea1B4A1e0C3e7F48c3A5fbC81AF,90000
AXS,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x5B58aA6E0651Ae311864876A55411F481aD86080,90000
BAL,USD,Chainlink,Yes,Yes,3600,0.5,ChainlinkOracle,0x040d1EdC9569d4Bab2D15287Dc5A4F10F56a56B8,0x0000000000000000000000000000000000000348,0xBE5eA816870D11239c543F84b71439511D70B94f,7200
BNB,USD,Chainlink,No,No,86400,0.1,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0x6970460aabF80C5BE983C6b74e5D06dEDCA95D4A,90000
