Vault,Governor,Whitelist
0xE220d93e73D22e72Cb3f7B2496B4c2e6DfEd8B72,M1 Etherfi,Yes
0x5097DaacD8198a164257B6AAB66951323e53EE53,M1 Etherfi,Yes
0xfeE02E3904DfcF323851163E3b8847952f168b2e,M1 Etherfi,Yes
0x87Ca725845824903B29a03ADFDF1548Cd1D30a4f,M2 Ethena,Yes
0x36313192157C38A16e197f48c80346849AE3957A,M2 Ethena,Yes
0xB0004aD99F0e383cC413bA69ACff7c229D930112,M2 Ethena,Yes
0x767d33217e7d2670695FfE2a104548B780f4F5d8,M3 USDai,Yes
0xAADEA03f6D6F198Bdc9229bD8113aceD19031773,M3 USDai,Yes
0x141A6f77ca186861BFB323b07012e80Ef4e09041,M3 USDai,Yes
0x5398657d46499D31863A404bbedc738bDa812424,M4 Maple,Yes
0xFA00aBfF8E404B4Fe939115409035F708a109842,M4 Maple,Yes
0xAc40D41aB11b0eb991a7D34D55DbDbB7849e92EF,M5a Resolv WSTUSR,Yes
0x2beBDc03D4268247c205ECB6926332221EC612AC,M5a Resolv WSTUSR,Yes
0x4718484ac9dc07fbbC078561e8f8Ef29e2a369CD,M5a Resolv WSTUSR,Yes
0x0a39a99f1639a9e26ED9F7c096165A41FDEb5E63,M5b Resolv RLP,Yes
0xbd2D9A3c34f866387a371035dc94Cbe94759E6d8,M5b Resolv RLP,Yes
0x538f01e0BA3cf3aB5b3837A0d138a3F67b9b8235,M5b Resolv RLP,Yes
0x79C86345c5132465DdebB7dC90de0f826Fb905b1,M9 Plasma,Yes
0x969a9d7e07Dd584e5b989FE63ac202c4C2372Fd4,M9 Plasma,Yes
0x7f801a8f69C9D9BA52aF27A8fADde56FC33F9267,M9 Plasma,Yes
0x75C4D639067ddAf77f6BEc440e68DDdFab2C47eE,M12 PT-USDe,Yes
0x35b6f39affA0020c1736cdC764287bfd32Ee4324,M12 PT-USDe,Yes
0x0D10591241F67449102ACF05CD9c480CfE43154c,M12 PT-USDe,Yes
0xc3fF7A69A232239ce306dB50d63Ab2737053e24C,M13 PT-sUSDe,Yes
0xd9e36ad27AfF5bBF2c65026462d45DF093554D38,M13 PT-sUSDe,Yes
0x8073b76bBd1B40F1Fb2b6AEf7A920B1914Bb86AB,M13 PT-sUSDe,Yes
0x0bB995211462d10495136C6F2eCc367435481c2d,M14 PT-syrupUSDT,Yes
0xf0A1bDf7e678144702feC359fa1A0eb50b0B8845,M14 PT-syrupUSDT,Yes
0x5DccE5f1eDdf4c1Ada8Bcf2da89d4bc7fB9Dd5d2,M15 PT-USDai,Yes
0x8539f99dBC4F437C1F71de6920369B9cD46193Ff,M15 PT-USDai,Yes
0x98d6863fa1C247d529c94e53f521897ae9A6EBf0,M15 PT-USDai,Yes
0xCe7120C69A77E90615A9D65C581FDAc1fd311cDC,M16 PT-sUSDai,Yes
0x4bFcf2aCC5Cb79EE2A00D08EDfB81eFD37cC2Fe5,M16 PT-sUSDai,Yes
0x66Ab62571Ccd31D911EeEfea85944895e30c0A3a,M16 PT-sUSDai,Yes
0x57c582346B7d49A46Af3745A8278917D1c1311b8,Telos Stream,Yes
0x138c289Bb8b855CF271305C8bcf91DC31Ba30194,Telos Stream,Yes
0xF510385f5D74256bC677fbBA4e0e3079bE245Bd2,Edge Core,Yes
0x230FB94b27da4e18f2eB6b66498aB3e9c860FAcD,Edge Core,Yes
0xA467Ad3929E8FFdfD955f32756EC8b1522274eF2,Edge Core,Yes
0xd3da8d58De01C99d9bB971cA284B89a2bb60798a,Edge Core,Yes
0x8Aec278c2fD4cc07B10A8865AEd33775f93EACe6,K3 Pendlend,Yes
0x527295f09Ff7c411B213B29a0DE8c816a669b3fe,K3 Pendlend,Yes
0x45F4ccae775BEDd6d80c368ebA87f41D8EEf1067,K3 Pendlend,Yes
0x9ABBc903Af7DA20325F0C4f2fE3a77AE4e1694B4,K3 Pendlend,Yes
0x46d2CdcAE9b0369a4b4c17BA2E34e4c7D0B2832a,K3 Pendlend,Yes
