Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
swETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x09341022ea237a4DB1644DE7CCf8FA0e489D85B7,0x4200000000000000000000000000000000000006,0x3587a73AA02519335A8a6053a97657BECe0bC2Cc,25200
wstETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x7c98E0779EB5924b3ba8cE3B17648539ed5b0Ecc,0x4200000000000000000000000000000000000006,0xa8a94Da411425634e3Ed6C331a32ab4fd774aa43,25200
ETH,USD,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,0xe7f71d6a24EBc391f5ee57B867ED429EB7Bd74f4,25200
weETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0xA6cB988942610f6731e664379D15fFcfBf282b44,0x4200000000000000000000000000000000000006,0x3fd49f2146FE0e10c4AE7E3fE04b3d5126385Ac4,25200
rsETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0xc3eACf0612346366Db554C991D7858716db09f58,0x4200000000000000000000000000000000000006,0x197225B3B017eb9b72Ac356D6B3c267d0c04c57c,25200
ezETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,0xbbF121624c3b85C929Ac83872bf6c86b0976A55e,25200
pzETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x9cb41CD74D01ae4b4f640EC40f7A60cA1bCF83E7,0x4200000000000000000000000000000000000006,0x09639692CE6ff12A06CA3AE9A24b3Aae4CD80DC8,25200
rswETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x18d33689AE5d02649a859A1CF16c9f0563975258,0x4200000000000000000000000000000000000006,0x4BAD96DD1C7D541270a0C92e1D4e5f12EEEA7a57,25200
USDe,USD,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,0x65eD6a4ac085620eE943c0B15525C4428D23e4Db,25200
SWELL,ETH,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x2826D136F5630adA89C1678b64A61620Aab77Aea,0x4200000000000000000000000000000000000006,0x24eDD61cdA334bFf871A80DEB135073a7d7a9187,25200
sUSDe_FUNDAMENTAL,USD,RedStone Classic,Yes,Yes,21600,0.5,ChainlinkOracle,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,0xddE3b77040cee3387C0cA661d1b619C3acA203b0,25200
