Vault,Governor,Whitelist
0xF8B65DebBE84f52E7256AEdd251d067440E75023,Test,No
0xB17e948876d623e56d909717157664CE000f0a5C,Test,No
0x7545F4ee5d8D234E6e7e704C8e033D9740251BA6,Test,No
0x27324c0d445f94550b53936dBAB7fD168634f192,Re7,Yes
0xc7F25f1c8FDB86DE3d14152034de4EB8B71eEC78,Re7,Yes
0x4ac2478eb1DDf574b0ffF297a25BB496af1fA207,Re7,Yes
0x2eF66758705426e7BF598669AEf23eE9b9CC3088,Re7,Yes
0x15794A8e1708511DABeC3d356aDDbE7128E90D8F,Re7,Yes
0xE2E106a9Ec7bc7F5dcDf5a20Ea007b833cCf4f1f,Re7,Yes
0x0Fa94ABEC53c176f9bf1Ae6c871a1214D8aECec8,Re7,Yes
0xa88869168951a3eb12484814e7a6ea3f0ac70e69,Re7,Yes
0x2C58807B0556fE2E4b10DBf8eC40c1e900022c51,Re7,No
0xdD6EaEf38F94d4724124cEc14c819818714537Ff,Edge Capital,Yes
0x2c8a93667D8909FA8F0c24F2c571C9163D3fB77A,Edge Capital,Yes
0x72D0e285166B0dDe84eE247c16e45979725D1399,Edge Capital,Yes
0x994a7766a0e658098cA01A1ADf114abD29e5629e,Edge Capital,Yes
0x73475c15FE4Cb39AD0c58Cb520E7A5771Ae8fC44,Edge Capital,Yes
0x522e6437B80B11C10AaFDB321c3610B85127E4CD,Edge Capital,Yes
0x41068B2c61d535a370E39415E090eC2100B57934,Edge Capital,Yes
0xf055eaa0802Fd2A1A6320D2308925831092A534C,Edge Capital,Yes
0xCc69e827EA1eB78dA3eD1543256d3916B4078620,Edge Capital,Yes
0xd5fFE1231F5610C68dD67eD3b870541D0A63aF50,Edge Capital,Yes
0xE82A5eD2d6E0423317F2a7FdB3B21215411791e0,Edge Capital,Yes
0xcAA9c74f87D31bC280AF5666BdC868DEe2064fE8,Edge Capital,Yes
0x921209493da603056De9B9a46eCE14b996a75088,Edge Capital,Yes
