Vault,Governor,Whitelist
0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC,Euler,Yes
0x54ff502df96CD9B9585094EaCd86AAfCe902d06A,Euler,Yes
0xe36DA4Ea4D07E54B1029eF26A896A656A3729f86,Euler,Yes
0x45b41B20B11cD2e71A6BF3021bdbc3F8aFEa5538,Euler,Yes
0x59215f65cB2F5Ddf048eFA8136Fc2C19F9A6C416,Euler,Yes
0x6eAe95ee783e4D862867C4e0E4c3f4B95AA682Ba,Euler,Yes
0xD49181c522eCDB265f0D9C175Cf26FFACE64eAD3,Euler,Yes
0xeD6A6410b2B7CDCBB786bFA734A33D36b6e78206,Euler,No
0x576f68B0395738AEF01811b8F8EeC25302829F1d,Euler,Yes
0x7650D7ae1981f2189d352b0EC743b9099D24086F,Euler,Yes
0x5d2511C1EBc795F4394f7f659f693f8C15796485,Euler,Yes
0xeE85660f8bb7C020A69C20886D1C91e7F984006a,Euler,Yes
0x6Bc1f97f96Dd6834A86aCf412B77C9F464419436,Euler LST,No
0xCF28A176021e6906C359d1777041245d9Fda076D,Euler LST,No
0xe6806beA4eCDE065bB757c35032f2c625848D8e8,Euler LST,No
0x25e2ef0f957B61cdd26BBE954AFD5806A9DaDe49,Euler LST,No
0x218c9e961fC5f6c8280bA160365FAbe8A53Ec6E5,AlphaGrowth,Yes
0x5ADAde21c703912547BFc8952fe1B52f09437E2A,AlphaGrowth,Yes
